Configuration,ACYC,AFREQ,EXEC,FREQ,INST,INSTnom,INSTnom%,IPC,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC,PhysIPC%,READ,TIME(ticks),WRITE
batch-3-learning-45-regular-34,3398.0,1.056,0.15526,0.202,2604.0,0.30999999999999994,7.761999999999999,0.8539999999999999,5.006,0.0019438,0.585,2.3456,0.0008671999999999999,1.7079999999999997,42.7,2.153,2100.0,1.8060000000000003
batch-5-learning-78-regular-34,7292.857142857143,1.0485714285714285,0.22260000000000005,0.4334285714285714,3740.0,0.445,11.125714285714285,0.7264285714285713,10.53857142857143,0.002389142857142857,0.5971428571428571,3.9958571428571434,0.0009628571428571429,1.453142857142857,36.34285714285714,3.3787142857142856,2100.0,2.0085714285714285
batch-5-learning-67-regular-78,7324.285714285715,1.0542857142857143,0.22384285714285715,0.43657142857142855,3762.8571428571427,0.4477142857142856,11.185714285714285,0.7217142857142858,10.671428571428573,0.0024288571428571428,0.5975714285714285,4.075428571428572,0.0009845714285714286,1.442,36.07142857142858,3.4054285714285712,2100.0,2.0171428571428573
batch-2-learning-45-regular-34,3320.0,1.056,0.15552000000000002,0.19760000000000003,2616.0,0.311,7.774000000000001,0.8712,5.0920000000000005,0.0019806,0.5993999999999999,2.2612,0.0008306000000000001,1.7399999999999998,43.540000000000006,2.0787999999999998,2100.0,1.766
batch-3-learning-1-regular-45,3654.0,1.056,0.15854000000000001,0.21740000000000004,2662.0,0.3168,7.912000000000001,0.8234,5.71,0.0021928,0.6226,2.4236,0.0009126000000000001,1.6481999999999999,41.2,2.2278,2100.0,1.842
batch-5-learning-100-regular-1,5800.0,1.055,0.19628333333333337,0.3456666666666666,3298.3333333333335,0.3925,9.82,0.7733333333333334,9.238333333333333,0.0024825000000000003,0.5991666666666667,3.6061666666666667,0.0010156666666666667,1.5471666666666668,38.71666666666667,3.0205,2100.0,1.9816666666666667
batch-3-learning-34-regular-12,2876.0,0.9822000000000001,0.14257999999999998,0.17099999999999999,2394.0,0.285,7.128,0.8814,4.959999999999999,0.002013,0.5962,2.3136,0.0008669999999999999,1.7642,44.1,2.0696000000000003,2100.0,1.7560000000000002
batch-3-learning-1-regular-100,3328.0,1.056,0.153,0.198,2572.0,0.3062,7.645999999999999,0.8539999999999999,5.005999999999999,0.0019844,0.5866,2.3276,0.0008708,1.7108,42.760000000000005,2.1314,2100.0,1.7939999999999998
batch-2-learning-89-regular-34,3542.0,1.056,0.175,0.21080000000000002,2942.0,0.35040000000000004,8.758,0.9086000000000001,5.676,0.001994,0.6242000000000001,2.2984,0.0008003999999999999,1.8177999999999996,45.440000000000005,2.124,2100.0,1.77
batch-3-learning-12-regular-67,3296.0,1.052,0.14788,0.196,2484.0,0.2952,7.386000000000001,0.8333999999999999,4.098000000000001,0.0017063999999999998,0.5906,1.8240000000000003,0.0006986,1.6684,41.7,2.0982,2100.0,1.786
batch-5-learning-89-regular-23,6845.714285714285,1.0018571428571428,0.20711428571428575,0.4081428571428572,3481.4285714285716,0.41414285714285715,10.357142857142858,0.7255714285714285,10.875714285714285,0.002546857142857143,0.5917142857142857,4.139142857142857,0.0010467142857142858,1.4508571428571428,36.285714285714285,3.3619999999999997,2100.0,2.0028571428571427
batch-4-learning-100-regular-100,5703.333333333333,1.055,0.19591666666666666,0.3398333333333334,3295.0,0.39199999999999996,9.798333333333334,0.7736666666666666,7.603333333333334,0.00203,0.6025,2.8046666666666664,0.0007903333333333333,1.548166666666667,38.7,2.7741666666666664,2100.0,1.9083333333333332
batch-1-learning-1-regular-67,2526.0,0.9766,0.1335,0.1504,2244.0,0.2672,6.6739999999999995,0.8911999999999999,4.442,0.0017956,0.5448000000000001,2.3468,0.0009134,1.7812000000000001,44.519999999999996,1.9522,2100.0,1.698
batch-1-learning-100-regular-100,3246.0,1.056,0.15226,0.193,2560.0,0.30460000000000004,7.626,0.8639999999999999,4.422,0.0017328,0.5944,2.0228,0.0007442,1.7259999999999998,43.18,1.999,2100.0,1.714
batch-3-learning-67-regular-1,3308.0,1.056,0.15158,0.1968,2544.0,0.303,7.572,0.8539999999999999,4.9879999999999995,0.0019576,0.5838,2.317,0.0008622000000000001,1.7096,42.72,2.1271999999999998,2100.0,1.796
batch-1-learning-1-regular-56,3400.0,1.056,0.15410000000000001,0.202,2590.0,0.30779999999999996,7.692,0.8464,4.786,0.0018376,0.5988,2.1885999999999997,0.0007982000000000001,1.6920000000000002,42.339999999999996,2.0006,2104.0,1.714
batch-3-learning-78-regular-56,3318.0,1.056,0.15188000000000001,0.1976,2556.0,0.304,7.6,0.8576,5.072,0.0019993999999999997,0.5900000000000001,2.3664,0.0008788000000000001,1.7125999999999997,42.839999999999996,2.1323999999999996,2100.0,1.796
batch-2-learning-12-regular-1,3306.0,1.056,0.15452000000000002,0.1968,2596.0,0.30900000000000005,7.720000000000001,0.868,4.8340000000000005,0.0018770000000000002,0.5957999999999999,2.2030000000000003,0.0008098000000000001,1.738,43.440000000000005,2.0665999999999998,2100.0,1.77
batch-1-learning-23-regular-78,3392.0,1.056,0.15804,0.20180000000000003,2656.0,0.31599999999999995,7.906000000000001,0.8694000000000001,4.7299999999999995,0.0018016,0.5906,2.2212000000000005,0.0008030000000000001,1.736,43.400000000000006,2.0060000000000002,2100.0,1.714
batch-3-learning-34-regular-45,2514.0,0.974,0.12869999999999998,0.1496,2166.0,0.25760000000000005,6.438,0.8556000000000001,4.166,0.0018360000000000002,0.5864,1.9855999999999998,0.0008460000000000001,1.7088,42.72,1.9426,2100.0,1.6920000000000002
batch-2-learning-23-regular-1,3228.0,1.056,0.15246,0.19180000000000003,2562.0,0.3048,7.632,0.8692,4.904,0.0019022000000000002,0.599,2.196,0.0008054000000000001,1.7399999999999998,43.46,2.0458,2100.0,1.766
batch-1-learning-45-regular-100,3274.0,1.048,0.15418,0.1948,2590.0,0.30799999999999994,7.706,0.8686,4.61,0.0017732000000000002,0.5843999999999999,2.2646,0.0008199999999999999,1.7399999999999998,43.46,2.0038,2100.0,1.716
batch-5-learning-45-regular-67,7312.857142857143,1.0542857142857143,0.2233,0.4347142857142857,3760.0,0.44642857142857145,11.167142857142858,0.7255714285714286,10.924285714285714,0.0025401428571428576,0.5957142857142859,4.208428571428572,0.001040142857142857,1.4501428571428572,36.27142857142858,3.3954285714285715,2111.4285714285716,2.0171428571428573
batch-4-learning-23-regular-67,5713.333333333333,1.055,0.19786666666666666,0.3403333333333333,3321.6666666666665,0.3953333333333333,9.886666666666667,0.779,8.426666666666668,0.0023003333333333335,0.6116666666666667,3.170833333333333,0.0009158333333333333,1.5578333333333332,38.949999999999996,2.7761666666666667,2100.0,1.915
