Configuration,ACYC,AFREQ,EXEC,FREQ,INST,INSTnom,INSTnom%,IPC,L2HIT,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC,PhysIPC%,READ,TIME(ticks),WRITE
hash-8-itr-7-probe-8,2148.0,0.9642,0.2074,0.1278,3488.0,0.4148,10.364,1.626,0.5216,2.794,0.0008126,0.3682,1.7706,0.0005118,3.256,81.32,0.8994,2102.0,0.04762
hash-6-itr-25-probe-20,2358.57142857,1.04828571429,0.238285714286,0.139285714286,4031.42857143,0.476714285714,11.9285714286,1.72,0.507285714286,2.57714285714,0.000647428571429,0.359571428571,1.64414285714,0.000413571428571,3.43714285714,85.9428571429,0.833714285714,2114.28571429,0.0355085714286
hash-8-itr-2-probe-10,2320.0,1.01975,0.20675,0.136,3522.5,0.413,10.34,1.5275,0.4585,3.7675,0.001063,0.33625,2.4925,0.0007015,3.0475,76.275,1.14,2135.0,0.05515
hash-8-itr-7-probe-2,2332.5,1.04775,0.23025,0.137,3915.0,0.4605,11.5,1.685,0.5425,2.25,0.00057775,0.3995,1.315,0.000338,3.37,84.2,0.793,2130.0,0.0565
hash-8-itr-7-probe-4,2282.5,1.0145,0.22425,0.13575,3767.5,0.44825,11.235,1.6475,0.50325,2.5825,0.000693,0.41525,1.51,0.0004085,3.2925,82.325,0.8395,2100.0,0.0542
hash-8-itr-7-probe-6,2237.5,0.972,0.212,0.131,3625.0,0.42475,10.6125,1.625,0.54425,2.9125,0.00080625,0.38475,1.77,0.00049175,3.2475,81.15,0.9245,2132.5,0.05505
hash-5-itr-14-probe-12,2276.0,1.0258,0.232,0.1354,3902.0,0.4644,11.62,1.718,0.5544,2.316,0.0005986,0.4084,1.3688,0.0003518,3.432,85.8,0.7668,2100.0,0.045438
hash-7-itr-7-probe-14,2362.0,1.03,0.2202,0.1398,3724.0,0.4406,11.04,1.574,0.4774,3.336,0.0008988,0.3726,2.074,0.00056,3.152,78.82,0.9976,2112.0,0.05272
hash-7-itr-19-probe-20,2278.33333333,1.03333333333,0.227,0.1355,3816.66666667,0.454166666667,11.3533333333,1.675,0.492666666667,2.68333333333,0.0007325,0.343166666667,1.76666666667,0.000485333333333,3.34666666667,83.6833333333,0.870333333333,2100.0,0.0405
hash-4-itr-22-probe-16,2176.66666667,0.956666666667,0.23,0.129166666667,3880.0,0.460333333333,11.5,1.78833333333,0.624333333333,1.80433333333,0.000472333333333,0.419333333333,1.00033333333,0.0002635,3.57166666667,89.3,0.638666666667,2106.66666667,0.0452333333333
hash-6-itr-17-probe-14,2328.33333333,1.03066666667,0.235166666667,0.138333333333,3963.33333333,0.470666666667,11.75,1.70666666667,0.5685,2.44833333333,0.00063,0.353166666667,1.54733333333,0.000399,3.41166666667,85.3,0.814,2105.0,0.0476166666667
hash-8-itr-14-probe-12,2393.33333333,1.03066666667,0.2265,0.140833333333,3853.33333333,0.453166666667,11.3366666667,1.61666666667,0.5465,2.985,0.000776833333333,0.377333333333,1.815,0.000476333333333,3.235,80.85,0.916666666667,2126.66666667,0.0501333333333
hash-8-itr-14-probe-10,2386.66666667,1.032,0.228166666667,0.1395,3903.33333333,0.4565,11.4083333333,1.645,0.540666666667,2.86,0.000732166666667,0.373333333333,1.795,0.000457666666667,3.285,82.1833333333,0.908,2140.0,0.0484
hash-8-itr-14-probe-16,2156.66666667,0.9425,0.209,0.127333333333,3531.66666667,0.418333333333,10.44,1.64333333333,0.5235,2.94666666667,0.000860833333333,0.344,1.92166666667,0.0005645,3.28666666667,82.15,0.8885,2115.0,0.044165
hash-8-itr-12-probe-8,2118.33333333,0.950666666667,0.209833333333,0.1255,3541.66666667,0.419833333333,10.48,1.67166666667,0.518833333333,2.40666666667,0.000693666666667,0.366166666667,1.53,0.000443833333333,3.34,83.5,0.8195,2110.0,0.0453666666667
hash-8-itr-12-probe-6,2344.0,1.06,0.2346,0.139,3958.0,0.4686,11.72,1.688,0.527,2.422,0.0006184,0.3828,1.4922,0.0003826,3.378,84.4,0.8172,2110.0,0.041228
hash-7-itr-7-probe-10,2315.0,1.01775,0.216,0.136,3667.5,0.43125,10.77,1.5875,0.47625,3.2375,0.000882,0.36975,2.02,0.00055025,3.175,79.35,0.995,2122.5,0.060725
hash-8-itr-14-probe-18,2313.33333333,1.036,0.2185,0.135166666667,3728.33333333,0.437,10.9216666667,1.61333333333,0.516166666667,3.08333333333,0.000862333333333,0.346333333333,2.06333333333,0.000581833333333,3.22666666667,80.6333333333,0.9675,2133.33333333,0.0418333333333
hash-8-itr-12-probe-2,2246.0,0.9754,0.2296,0.1334,3868.0,0.4592,11.5,1.722,0.639,2.012,0.0005286,0.4564,1.0664,0.0002814,3.45,86.18,0.697,2106.0,0.05208
hash-8-itr-4-probe-10,2102.5,0.9275,0.1935,0.125,3252.5,0.38725,9.7025,1.55,0.4415,3.4525,0.0010625,0.35625,2.21,0.00067875,3.105,77.6,1.045,2100.0,0.057075
hash-8-itr-17-probe-20,2240.0,0.997142857143,0.218285714286,0.133285714286,3665.71428571,0.436142857143,10.9142857143,1.64571428571,0.480571428571,3.01428571429,0.000837142857143,0.336571428571,1.99428571429,0.000555142857143,3.29285714286,82.3,0.938714285714,2100.0,0.0391014285714
hash-7-itr-7-probe-12,2094.0,0.9398,0.202,0.1246,3394.0,0.4036,10.116,1.622,0.4772,2.878,0.0008592,0.3526,1.858,0.0005542,3.242,81.14,0.9188,2100.0,0.045742
hash-5-itr-25-probe-20,2396.66666667,1.04466666667,0.244,0.1405,4170.0,0.488166666667,12.2166666667,1.74166666667,0.618833333333,2.34,0.000579333333333,0.395,1.40466666667,0.00035,3.48,87.1,0.772666666667,2135.0,0.0444833333333
hash-8-itr-7-probe-20,2140.0,0.9562,0.1964,0.127,3310.0,0.3932,9.814,1.554,0.4646,3.468,0.0010528,0.325,2.338,0.0007074,3.104,77.58,1.0548,2106.0,0.04806
hash-8-itr-4-probe-12,2300.0,1.01825,0.20875,0.1355,3550.0,0.4175,10.44,1.5375,0.44775,3.5975,0.00103175,0.363,2.315,0.00066825,3.0775,76.95,1.074,2125.0,0.055575
hash-7-itr-9-probe-8,2116.0,0.9458,0.2098,0.1252,3538.0,0.4196,10.5,1.67,0.5508,2.498,0.000715,0.3882,1.51,0.0004366,3.342,83.5,0.8004,2108.0,0.0443
hash-8-itr-4-probe-20,2312.0,1.013,0.2046,0.1376,3436.0,0.4094,10.222,1.49,0.4476,4.088,0.001198,0.3336,2.714,0.0007964,2.978,74.44,1.176,2100.0,0.05404
hash-6-itr-25-probe-12,2296.66666667,1.04566666667,0.24,0.136333333333,4046.66666667,0.479833333333,12.0166666667,1.76,0.581833333333,2.09333333333,0.000532333333333,0.379166666667,1.28666666667,0.0003305,3.52166666667,88.0166666667,0.7305,2108.33333333,0.0401233333333
hash-8-itr-17-probe-8,2380.0,1.03783333333,0.2355,0.139,4026.66666667,0.4705,11.7666666667,1.69333333333,0.595333333333,2.455,0.000625333333333,0.403166666667,1.463,0.000373833333333,3.38666666667,84.7,0.803833333333,2138.33333333,0.0440333333333
hash-6-itr-25-probe-14,2355.0,1.034,0.241333333333,0.138666666667,4086.66666667,0.482333333333,12.0716666667,1.74333333333,0.5385,2.32333333333,0.0005765,0.403166666667,1.376,0.0003405,3.48833333333,87.1833333333,0.761833333333,2116.66666667,0.04376
hash-6-itr-25-probe-16,2277.14285714,1.02171428571,0.230714285714,0.133142857143,3941.42857143,0.461,11.5214285714,1.72428571429,0.540714285714,2.34428571429,0.000617285714286,0.366428571429,1.496,0.000398428571429,3.44857142857,86.2428571429,0.794,2135.71428571,0.0348714285714
hash-6-itr-25-probe-18,2275.71428571,1.04071428571,0.234428571429,0.135285714286,3937.14285714,0.468571428571,11.7214285714,1.72428571429,0.576714285714,2.35285714286,0.000631142857143,0.351142857143,1.56328571429,0.000424,3.45,86.2428571429,0.804571428571,2100.0,0.0379
hash-8-itr-12-probe-14,2125.0,0.952666666667,0.206,0.1255,3485.0,0.412166666667,10.295,1.63666666667,0.492666666667,2.79833333333,0.0008305,0.3515,1.825,0.000546833333333,3.27666666667,81.9333333333,0.895833333333,2113.33333333,0.0411166666667
hash-7-itr-9-probe-2,2214.0,0.9596,0.2202,0.1298,3756.0,0.4402,10.996,1.698,0.6192,2.038,0.000542,0.4216,1.1342,0.0003036,3.398,84.98,0.7224,2132.0,0.0482
hash-7-itr-9-probe-4,2300.0,0.9406,0.2094,0.1356,3548.0,0.4186,10.466,1.562,0.5688,2.11,0.000602,0.4022,1.2514,0.0003586,3.124,78.08,0.7538,2120.0,0.0469
