Configuration,ACYC,AFREQ,EXEC,FREQ,INST,INSTnom,INSTnom%,IPC,L2HIT,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC,PhysIPC%,READ,TIME(ticks),WRITE
batch-3-learning-12-regular-2,2986.66666667,0.753333333333,0.177216666667,0.1747,3031.66666667,0.355,8.865,0.974333333333,0.702666666667,5.47833333333,0.00179,0.680166666667,1.3385,0.000660333333333,1.95,48.7166666667,1.963,2113.33333333,1.45216666667
batch-3-learning-78-regular-2,2951.66666667,0.76,0.17955,0.175283333333,3016.66666667,0.358666666667,8.97166666667,0.976666666667,0.681166666667,5.72483333333,0.00176,0.694166666667,1.37883333333,0.000607,1.955,48.8333333333,1.94933333333,2100.0,1.44366666667
batch-5-learning-1-regular-5,5182.85714286,0.817857142857,0.315371428571,0.307714285714,5304.28571429,0.630571428571,15.76,1.01914285714,0.715857142857,10.0127142857,0.00192671428571,0.724714285714,1.54342857143,0.000645,2.04,50.9571428571,2.23171428571,2100.0,1.44985714286
batch-5-learning-1-regular-4,4258.57142857,0.741428571429,0.267814285714,0.253514285714,4498.57142857,0.534857142857,13.39,0.993142857143,0.702571428571,8.87785714286,0.001745,0.721571428571,1.40357142857,0.000516571428571,1.98571428571,49.6428571429,2.12557142857,2100.0,1.41457142857
batch-5-learning-1-regular-3,6033.33333333,0.974166666667,0.361683333333,0.358833333333,6075.0,0.7225,18.08,0.933333333333,0.686333333333,10.9016666667,0.00162433333333,0.736666666667,1.83916666667,0.0004575,1.86666666667,46.6333333333,2.525,2100.0,1.67166666667
batch-5-learning-1-regular-2,5418.0,1.062,0.31954,0.3226,5366.0,0.64,15.982,0.9578,0.692,10.158,0.001802,0.6988,2.0488,0.0006112,1.92,47.96,2.624,2100.0,1.836
batch-5-learning-1-regular-1,4367.14285714,0.76,0.263685714286,0.258471428571,4445.71428571,0.527,13.18,0.983428571429,0.728142857143,7.81428571429,0.00174857142857,0.710142857143,1.37885714286,0.000597142857143,1.96571428571,49.1714285714,2.06,2104.28571429,1.38271428571
batch-5-learning-45-regular-2,5288.0,1.0428,0.31186,0.3142,5242.0,0.623,15.602,0.9366,0.697,10.03,0.001796,0.697,2.0444,0.000625,1.872,46.84,2.626,2100.0,1.836
batch-5-learning-45-regular-3,6321.66666667,0.972666666667,0.369666666667,0.376333333333,6196.66666667,0.739833333333,18.4483333333,0.933,0.688833333333,11.1466666667,0.00164416666667,0.730333333333,1.8155,0.000495166666667,1.865,46.5666666667,2.51,2100.0,1.665
batch-5-learning-45-regular-1,5765.0,0.9285,0.335883333333,0.3425,5641.66666667,0.672,16.7916666667,0.934333333333,0.704166666667,9.85833333333,0.00168666666667,0.736666666667,1.73816666667,0.000522,1.87166666667,46.7666666667,2.41833333333,2100.0,1.62666666667
batch-5-learning-45-regular-4,4860.0,0.789714285714,0.3015,0.289028571429,5074.28571429,0.603428571429,15.0714285714,0.974285714286,0.708285714286,9.63385714286,0.00184257142857,0.721714285714,1.51714285714,0.000584714285714,1.95,48.6857142857,2.20628571429,2100.0,1.44485714286
batch-5-learning-45-regular-5,3788.33333333,0.804666666667,0.235183333333,0.226,3961.66666667,0.470666666667,11.755,1.00316666667,0.694,7.30916666667,0.00171333333333,0.687166666667,1.44933333333,0.000592666666667,2.00666666667,50.1833333333,2.1585,2100.0,1.5175
batch-4-learning-100-regular-2,4394.28571429,0.76,0.260714285714,0.260342857143,4405.71428571,0.521857142857,13.0371428571,0.975428571429,0.732571428571,6.97285714286,0.00165142857143,0.696142857143,1.36242857143,0.000595428571429,1.95,48.7571428571,2.082,2104.28571429,1.407
