Configuration,ACYC,AFREQ,EXEC,FREQ,INST,INSTnom,INSTnom%,IPC,L2HIT,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC,PhysIPC%,READ,TIME(ticks),WRITE,SLOWDOWN
batch-2-learning-45-regular-1,12737.5,0.76,0.842875,0.756125,14187.5,1.68625,42.125,1.115,0.68775,22.175,0.00156,0.954125,0.767,5.431375e-05,2.23,55.75,1.57575,2102.5,1.121125,1.3182691494
batch-2-learning-45-regular-1,12771.4285714,0.755571428571,0.963142857143,0.750428571429,16442.8571429,1.92428571429,48.1285714286,1.28285714286,0.155857142857,116.0,0.00707428571429,0.993,0.817142857143,4.94942857143e-05,2.56571428571,64.1428571429,1.62642857143,2134.28571429,1.22,1.29743812548
batch-2-learning-45-regular-1,9828.57142857,0.76,0.838142857143,0.585285714286,14085.7142857,1.67571428571,41.8857142857,1.43428571429,0.694857142857,18.6285714286,0.00133771428571,0.946857142857,1.02685714286,7.48428571429e-05,2.86857142857,71.6857142857,1.70571428571,2101.42857143,1.26785714286,1.18362472227
batch-2-learning-45-regular-1,12712.5,0.76,0.94125,0.755625,15837.5,1.88125,47.0625,1.245,0.87075,4.9825,0.00031525,0.82275,0.752175,4.73375e-05,2.4925,62.2875,1.569875,2100.0,1.119375,1.31195080552
batch-2-learning-45-regular-1,12750.0,0.75875,0.96275,0.754375,16312.5,1.92625,48.1875,1.27625,0.942,3.82375,0.0002329625,0.736875,0.767125,4.585e-05,2.55375,63.8375,1.563625,2112.5,1.11725,1.31801570941
batch-2-learning-45-regular-1,12800.0,0.76,0.919375,0.756875,15550.0,1.8375,45.9625,1.21375,0.89325,7.7625,0.000498625,0.728125,0.7717875,4.813875e-05,2.42875,60.725,1.5705,2117.5,1.116875,1.35274026588
batch-2-learning-45-regular-1,7691.66666667,0.76,0.6175,0.4535,10470.0,1.23666666667,30.8666666667,1.365,0.815166666667,10.7016666667,0.001023,0.8785,1.256,0.000118566666667,2.73166666667,68.2333333333,1.86783333333,2120.0,1.44,1.0991898711
batch-2-learning-45-regular-1,7573.33333333,0.76,0.603,0.450666666667,10135.0,1.205,30.1333333333,1.34,0.731166666667,19.2333333333,0.0019,0.931,1.286,0.00012465,2.68333333333,67.0666666667,1.87433333333,2100.0,1.44066666667,1.11007996844
batch-2-learning-45-regular-1,11357.1428571,0.76,0.717,0.676,12057.1428571,1.43428571429,35.8428571429,1.06171428571,0.285428571429,62.0285714286,0.00516571428571,0.979857142857,1.173,9.11285714286e-05,2.12571428571,53.0714285714,1.71842857143,2100.0,1.26971428571,1.20272412975
batch-2-learning-45-regular-1,11214.2857143,0.757142857143,0.851571428571,0.662142857143,14400.0,1.70428571429,42.5857142857,1.28571428571,0.770285714286,17.2142857143,0.00117985714286,0.945857142857,1.14871428571,7.61571428571e-05,2.57142857143,64.3,1.75242857143,2114.28571429,1.27828571429,1.14055869736
batch-5-learning-45-regular-5,12675.0,0.755333333333,0.973333333333,0.751916666667,16416.6666667,1.94833333333,48.6916666667,1.29583333333,0.151258333333,113.083333333,0.00689666666667,0.99425,0.6445,3.91183333333e-05,2.58833333333,64.7166666667,1.82175,2107.5,0.949333333333,1.30429954392
batch-5-learning-45-regular-5,7470.0,0.758,0.634,0.4438,10662.0,1.268,31.7,1.431,0.8037,16.89,0.0015734,0.9414,0.993,9.487e-05,2.861,71.54,2.2348,2104.0,1.1645,1.04182032243
batch-5-learning-45-regular-5,11163.6363636,0.76,0.909272727273,0.662090909091,15336.3636364,1.81818181818,45.4909090909,1.37363636364,0.713909090909,19.0818181818,0.00123836363636,0.958454545455,0.796,5.11e-05,2.74727272727,68.7,1.99754545455,2108.18181818,1.04345454545,1.17661576136
batch-5-learning-45-regular-5,7385.55555556,0.758777777778,0.614333333333,0.438555555556,10340.0,1.22888888889,30.7,1.40333333333,0.735222222222,20.9,0.00201444444444,0.951777777778,1.04311111111,0.000103711111111,2.81,70.2555555556,2.23433333333,2105.55555556,1.22644444444,1.04203424787
batch-5-learning-45-regular-5,12741.6666667,0.759666666667,0.960916666667,0.755583333333,16208.3333333,1.9225,48.05,1.27083333333,0.86475,5.8775,0.000359075,0.834916666667,0.64,3.97391666667e-05,2.54333333333,63.5916666667,1.85791666667,2105.0,0.949666666667,1.30428558491
batch-5-learning-45-regular-5,12900.0,0.76,0.861916666667,0.756166666667,14733.3333333,1.72416666667,43.1083333333,1.14083333333,0.725333333333,26.9166666667,0.001835,0.968083333333,0.694083333333,4.74191666667e-05,2.27916666667,57.0083333333,1.88516666667,2135.83333333,0.956166666667,1.32729568345
batch-5-learning-45-regular-5,12933.3333333,0.758166666667,0.99725,0.754333333333,17116.6666667,1.99666666667,49.875,1.3225,0.917,6.19416666667,0.000357408333333,0.814833333333,0.649541666667,3.85208333333e-05,2.645,66.1333333333,1.85983333333,2140.83333333,0.953083333333,1.33114832172
batch-5-learning-45-regular-5,9788.0,0.76,0.7624,0.5828,12810.0,1.526,38.11,1.308,0.7311,20.81,0.001612,0.956,0.991,7.805e-05,2.615,65.4,2.2219,2100.0,1.1602,1.05933472521
