Configuration,ACYC,AFREQ,EXEC,FREQ,INST,INSTnom,INSTnom%,IPC,L2HIT,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC,PhysIPC%,READ,TIME(ticks),WRITE
num-400000,2313.88888889,1.02627777778,0.335333333333,0.135444444444,5730.0,0.670888888889,16.7777777778,2.48111111111,0.946611111111,0.301194444444,5.12666666667e-05,0.798555555556,0.0421722222222,7.28944444444e-06,4.96666666667,124.055555556,0.304611111111,2135.55555556,0.0209033333333
num-200000,2182.22222222,0.974666666667,0.322,0.13,5412.22222222,0.643888888889,16.1222222222,2.48333333333,0.941555555556,0.314666666667,5.64555555556e-05,0.809,0.0425666666667,7.80444444444e-06,4.96666666667,124.111111111,0.299888888889,2100.0,0.0254666666667
num-800000,2369.44444444,1.04452777778,0.342111111111,0.137638888889,5883.05555556,0.683916666667,17.1,2.48916666667,0.950611111111,0.299097222222,4.92975e-05,0.820805555556,0.0364866666667,6.07286111111e-06,4.97638888889,124.333333333,0.302888888889,2150.27777778,0.0181468055556
num-100000,2345.0,1.0015,0.337,0.137,5765.0,0.6735,16.825,2.4625,0.92375,0.43775,7.58e-05,0.82025,0.064075,1.10925e-05,4.925,123.25,0.31825,2137.5,0.0452
num-600000,2384.07407407,1.06122222222,0.349851851852,0.141148148148,5909.25925926,0.699740740741,17.4888888889,2.48333333333,0.942111111111,0.34372962963,5.68222222222e-05,0.801740740741,0.0457248148148,7.65222222222e-06,4.96777777778,124.259259259,0.302925925926,2110.0,0.0210577777778
num-900000,2329.28571429,1.04638095238,0.343428571429,0.137904761905,5798.33333333,0.68680952381,17.1714285714,2.49523809524,0.95019047619,0.291661904762,4.85254761905e-05,0.795976190476,0.0370378571429,6.27814285714e-06,4.99047619048,124.738095238,0.298023809524,2110.0,0.0172362619048
num-300000,2329.28571429,1.03485714286,0.342571428571,0.138285714286,5767.85714286,0.685142857143,17.1571428571,2.48428571429,0.943285714286,0.3457,5.7395e-05,0.829857142857,0.0422835714286,7.13971428571e-06,4.96857142857,124.214285714,0.300071428571,2103.57142857,0.0231185714286
num-700000,2321.5625,1.048875,0.34496875,0.1380625,5798.125,0.6896875,17.246875,2.5021875,0.95109375,0.283671875,4.7214375e-05,0.78828125,0.0385565625,6.5289375e-06,5.0034375,125.15625,0.2973125,2100.0,0.01824978125
num-500000,2328.69565217,1.0452173913,0.344391304348,0.138347826087,5788.26086957,0.688608695652,17.2130434783,2.49173913043,0.946826086957,0.316126086957,5.35434782609e-05,0.801173913043,0.039397826087,6.75247826087e-06,4.98347826087,124.652173913,0.297695652174,2100.0,0.0198729130435
num-1000000,2361.30434783,1.03530434783,0.340630434783,0.136913043478,5875.2173913,0.681239130435,17.0326086957,2.49304347826,0.949413043478,0.305617391304,5.08139130435e-05,0.809543478261,0.0377582608696,6.34145652174e-06,4.98630434783,124.673913043,0.3045,2156.52173913,0.0176319347826
